transect,ac_erect_single,ag_articulated_calcareous,ag_corticated_foliose,ag_corticated_macrophyte,cca_crustose,cy_filamentous,hc_arborescent,hc_bushy,hc_column,hc_encrusting,hc_foliose,hc_massive,hc_table,oc_arborescent,oc_bushy,oc_cluster,oc_digitate,oc_encrusting,oc_lobate,oc_massive,sg,sp_encrusting,sp_massive,sp_repent,turf_filamentous,zo_encrusting,zo_massive
Dongsha_SouthInnerAtoll_5m_T1,0,0,0.044780116,0.006335771,2.282076202,0,0,0.039490796,0.248491964,5.648250151,0.695410478,3.277282675,0.034455466,0,0,0.033546139,0.190491093,0,0.220132221,0,0,0.030603414,0,0.027491733,5.567765285,0,0
Dongsha_SouthInnerAtoll_5m_T2,0,0.034568786,0.043848909,0.030043866,2.276759649,0,0,0,0.176655629,5.468694527,1.249166505,2.997218254,0.044310864,0,0.014870666,0.116936285,0.105293017,0,0.266819125,0.011455803,0,0,0,0.008398015,5.806611261,0.016254992,0
Dongsha_SouthInnerAtoll_5m_T3,0,0.010886526,0.082086564,0.076989912,2.047378883,0.002629714,0,0.001978728,0.72327105,5.340084642,1.463370578,1.866601269,0,0,0,0.06405415,0.223657167,0,0.185624435,0.033589816,0,0,0,0,5.797176709,0,0.001190298
Dongsha_SouthInnerAtoll_5m_T4,0,0.004466752,0.012336003,0.091844907,2.301247775,0,0.027084607,0.03923214,0.657753444,5.913349457,1.357072995,2.294309705,0.086070645,0,0.137726075,0.02190806,0.258231908,0,0.135442112,0.038205577,0,0.001304589,0,0.114427876,5.284009311,0.010001922,0
Dongsha_SouthInnerAtoll_5m_T5,0,0,0.01659571,0.084245828,2.19653841,0.003426779,0,0,0.158494534,5.436300564,0.655496624,2.134031656,0,0,0.021558339,0.018139666,0.181163129,0,0.312142675,0.047939754,0,0.017218731,0,0.007042692,6.4712737,0,0
Dongsha_SouthOuterAtoll_10m_T1,0,0,0.005334086,0,2.888448042,0,0.002135681,0.620656384,0.036708579,6.973829817,0,1.406134206,1.192334097,0,0,0.035996845,0.144268706,0,0.187004459,0.277790219,0,0.025385507,0,0,3.752642988,0,0
Dongsha_SouthOuterAtoll_10m_T2,0,0,0,0,3.241079862,0.019595622,0,1.575071368,0.021942983,8.001518711,0.006791988,0.523259757,1.524478873,0,0.008857225,0,0.149455398,0,0.013106759,0.001023523,0,0.008227148,0,0.003823736,3.968942015,0.020824963,0
Dongsha_SouthOuterAtoll_10m_T3,0,0,0,0,2.932788061,0.006720831,0,1.456857912,0,7.737082065,0.052276758,0.793471558,1.077225549,0,0,0,0.047181741,0,0.40849657,0.09414508,0,0,0,0,3.712417264,0.08410156,0
Dongsha_SouthOuterAtoll_10m_T4,0,0,0,0.014275803,3.0509217,0,0.527092094,0.952578897,0.028100175,8.537970539,0.012991529,0.749734808,0.559350172,0,0.021726286,0.031682235,0.2901962,0,0,0.051091246,0,0.028251891,0,0,3.879384559,0.047781161,0
Dongsha_SouthOuterAtoll_10m_T5,0,0.027328958,0,0.002285943,3.494624607,0,0,0.60105296,0.138138543,5.963519057,0.019070275,1.124399207,0.183750782,0.004195401,0.008861287,0,2.358963626,0,0.191002017,0.424707594,0,0,0,0.005202852,4.053058559,0,0
